Threshold,Baseline Precision,Baseline Recall,Baseline F1,SMOTE Precision,SMOTE Recall,SMOTE F1
0.1,0.71900826446281,0.8877551020408163,0.7945205479452054,0.29931972789115646,0.8979591836734694,0.4489795918367347
0.15,0.7818181818181819,0.8775510204081632,0.8269230769230769,0.4607329842931937,0.8979591836734694,0.6089965397923875
0.2,0.7962962962962963,0.8775510204081632,0.8349514563106796,0.5906040268456376,0.8979591836734694,0.7125506072874493
0.25,0.819047619047619,0.8775510204081632,0.8472906403940886,0.6616541353383458,0.8979591836734694,0.7619047619047619
0.3,0.86,0.8775510204081632,0.8686868686868687,0.7016129032258065,0.8877551020408163,0.7837837837837838
0.35,0.8936170212765957,0.8571428571428571,0.875,0.7327586206896551,0.8673469387755102,0.794392523364486
0.4,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.7706422018348624,0.8571428571428571,0.8115942028985508
0.45,0.9310344827586207,0.826530612244898,0.8756756756756757,0.8367346938775511,0.8367346938775511,0.8367346938775511
0.5,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.8617021276595744,0.826530612244898,0.84375
0.55,0.9506172839506173,0.7857142857142857,0.8603351955307262,0.8863636363636364,0.7959183673469388,0.8387096774193549
0.6,0.9743589743589743,0.7755102040816326,0.8636363636363636,0.896551724137931,0.7959183673469388,0.8432432432432433
0.65,0.9733333333333334,0.7448979591836735,0.8439306358381503,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.7,0.9726027397260274,0.7244897959183674,0.8304093567251462,0.9382716049382716,0.7755102040816326,0.8491620111731844
0.75,0.9710144927536232,0.6836734693877551,0.8023952095808383,0.9493670886075949,0.7653061224489796,0.847457627118644
0.8,0.9682539682539683,0.6224489795918368,0.7577639751552795,0.974025974025974,0.7653061224489796,0.8571428571428571
0.85,0.9821428571428571,0.5612244897959183,0.7142857142857143,0.971830985915493,0.7040816326530612,0.8165680473372781
0.9,0.9803921568627451,0.5102040816326531,0.6711409395973155,0.9705882352941176,0.673469387755102,0.7951807228915663
