Metric,Baseline Random Forest,SMOTE Random Forest
Precision,0.9411764705882353,0.8709677419354839
Recall,0.8163265306122449,0.826530612244898
F1-Score,0.8743169398907104,0.8481675392670157
ROC-AUC,0.9630272515590367,0.9684509513569075
